time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577836800000,0.00000456,0.00000468,0.00000455,0.00000464,22732844.00000000,1577923199999,105.11213778,4251,12865653.00000000,59.57115278,0
1577923200000,0.00000465,0.00000472,0.00000462,0.00000469,25328513.00000000,1578009599999,118.05695052,4456,12292910.00000000,57.37242272,0
1578009600000,0.00000469,0.00000475,0.00000461,0.00000466,43527066.00000000,1578095999999,203.22403495,8826,18193463.00000000,85.04284714,0
1578096000000,0.00000466,0.00000469,0.00000461,0.00000468,25959654.00000000,1578182399999,120.73675369,4794,14891106.00000000,69.31017813,0
1578182400000,0.00000468,0.00000473,0.00000463,0.00000471,30087484.00000000,1578268799999,140.72819617,5588,14779323.00000000,69.22495179,0
1578268800000,0.00000471,0.00000487,0.00000465,0.00000480,72810857.00000000,1578355199999,347.05738026,12298,35393754.00000000,168.93633010,0
1578355200000,0.00000481,0.00000485,0.00000452,0.00000454,93084878.00000000,1578441599999,436.05414516,17839,40391937.00000000,189.37634062,0
1578441600000,0.00000453,0.00000464,0.00000440,0.00000451,99429396.00000000,1578527999999,449.98825312,16594,47674291.00000000,216.31633797,0
1578528000000,0.00000451,0.00000463,0.00000449,0.00000462,45514014.00000000,1578614399999,206.91386905,7506,23773687.00000000,108.19757090,0
1578614400000,0.00000462,0.00000463,0.00000448,0.00000450,88008676.00000000,1578700799999,399.66795771,12161,36863548.00000000,167.62772027,0
1578700800000,0.00000450,0.00000462,0.00000449,0.00000459,44321862.00000000,1578787199999,202.33309428,7139,24755409.00000000,113.15727365,0
1578787200000,0.00000459,0.00000463,0.00000453,0.00000463,42385985.00000000,1578873599999,194.24917576,7152,20206565.00000000,92.78196073,0
1578873600000,0.00000463,0.00000464,0.00000453,0.00000455,33227489.00000000,1578959999999,151.74286480,5847,16422528.00000000,75.10151619,0
1578960000000,0.00000455,0.00000484,0.00000400,0.00000472,239431246.00000000,1579046399999,1096.97873464,37908,119361209.00000000,548.82700943,0
1579046400000,0.00000472,0.00000489,0.00000465,0.00000485,222041257.00000000,1579132799999,1057.53961917,31412,110457647.00000000,526.61494862,0
1579132800000,0.00000485,0.00000490,0.00000465,0.00000477,93554521.00000000,1579219199999,443.37233376,14999,44420007.00000000,210.90868047,0
1579219200000,0.00000478,0.00000513,0.00000474,0.00000503,186791665.00000000,1579305599999,920.47028606,32489,108763807.00000000,535.97602779,0
1579305600000,0.00000504,0.00000512,0.00000488,0.00000503,131006780.00000000,1579391999999,656.91488015,21391,62298930.00000000,312.51119957,0
1579392000000,0.00000503,0.00000506,0.00000479,0.00000483,121826301.00000000,1579478399999,598.21599731,23065,55196467.00000000,271.52848287,0
1579478400000,0.00000483,0.00000510,0.00000482,0.00000507,91802591.00000000,1579564799999,458.99925489,16170,48972138.00000000,245.08894168,0
1579564800000,0.00000507,0.00000540,0.00000504,0.00000528,203953788.00000000,1579651199999,1073.67316786,32571,107470547.00000000,565.83786771,0
1579651200000,0.00000527,0.00000534,0.00000519,0.00000527,85322079.00000000,1579737599999,449.77919972,13118,40299931.00000000,212.78239435,0
1579737600000,0.00000526,0.00000530,0.00000504,0.00000514,111636611.00000000,1579823999999,576.48655335,17625,45356644.00000000,234.50608881,0
1579824000000,0.00000514,0.00000537,0.00000501,0.00000533,108624791.00000000,1579910399999,561.49992241,22387,55315757.00000000,286.85779735,0
1579910400000,0.00000532,0.00000536,0.00000516,0.00000518,60342678.00000000,1579996799999,315.63341830,13518,25447036.00000000,133.22290414,0
1579996800000,0.00000518,0.00000521,0.00000512,0.00000520,73401316.00000000,1580083199999,379.52605561,10969,33246338.00000000,172.15069176,0
1580083200000,0.00000520,0.00000550,0.00000512,0.00000538,174088309.00000000,1580169599999,924.84857792,31312,95291519.00000000,506.48466691,0
1580169600000,0.00000538,0.00000603,0.00000524,0.00000564,466076028.00000000,1580255999999,2656.96797835,74074,242382362.00000000,1383.44962377,0
1580256000000,0.00000564,0.00000615,0.00000561,0.00000573,310305866.00000000,1580342399999,1843.60782156,53734,165900797.00000000,986.43004995,0
1580342400000,0.00000573,0.00000599,0.00000567,0.00000591,218331954.00000000,1580428799999,1271.49596443,36787,112415028.00000000,655.52677665,0
1580428800000,0.00000590,0.00000597,0.00000563,0.00000577,149238952.00000000,1580515199999,862.77560408,27927,72137514.00000000,417.23724683,0
1580515200000,0.00000576,0.00000611,0.00000570,0.00000597,161016984.00000000,1580601599999,949.52738538,29499,85201851.00000000,503.32845600,0
1580601600000,0.00000597,0.00000633,0.00000589,0.00000597,254317581.00000000,1580687999999,1557.77568803,44878,128308035.00000000,787.26688463,0
1580688000000,0.00000598,0.00000621,0.00000593,0.00000613,127204815.00000000,1580774399999,772.56468687,25130,65183717.00000000,396.21185362,0
1580774400000,0.00000613,0.00000620,0.00000587,0.00000609,163295616.00000000,1580860799999,986.99884430,32205,77468604.00000000,468.97572412,0
1580860800000,0.00000609,0.00000635,0.00000604,0.00000617,188947972.00000000,1580947199999,1170.54683264,39972,95130498.00000000,589.89566893,0
1580947200000,0.00000617,0.00000630,0.00000593,0.00000614,162677425.00000000,1581033599999,1002.50479254,32571,73689136.00000000,454.76130052,0
1581033600000,0.00000614,0.00000639,0.00000609,0.00000610,146848610.00000000,1581119999999,914.96519292,30133,71658532.00000000,447.18574762,0
1581120000000,0.00000609,0.00000625,0.00000590,0.00000607,128120040.00000000,1581206399999,781.86286048,26458,58827994.00000000,359.35707621,0
1581206400000,0.00000606,0.00000616,0.00000600,0.00000610,89697731.00000000,1581292799999,545.74611891,19207,45622273.00000000,277.90743241,0
1581292800000,0.00000609,0.00000613,0.00000595,0.00000612,114838901.00000000,1581379199999,694.13340666,22201,52963472.00000000,320.41835694,0
1581379200000,0.00000611,0.00000622,0.00000597,0.00000620,131698260.00000000,1581465599999,800.91364392,25238,63348191.00000000,385.65864898,0
1581465600000,0.00000620,0.00000680,0.00000618,0.00000660,287095067.00000000,1581551999999,1856.06850235,57650,153626633.00000000,993.60452521,0
1581552000000,0.00000660,0.00000694,0.00000643,0.00000671,293660543.00000000,1581638399999,1975.86329569,61925,145236009.00000000,979.15773812,0
1581638400000,0.00000672,0.00000689,0.00000662,0.00000684,143864790.00000000,1581724799999,973.74987688,31760,65478631.00000000,443.58711435,0
1581724800000,0.00000683,0.00000690,0.00000633,0.00000649,213497660.00000000,1581811199999,1415.81913604,44270,96740005.00000000,641.66908192,0
1581811200000,0.00000649,0.00000670,0.00000583,0.00000620,265334166.00000000,1581897599999,1662.74864513,56188,117695847.00000000,738.18945927,0
