time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577836800000,0.00190670,0.00191780,0.00188540,0.00190350,787779.03000000,1577923199999,1502.30912351,30538,364553.74000000,695.08920348,0
1577923200000,0.00190470,0.00190480,0.00186480,0.00186720,633220.04000000,1578009599999,1194.78340078,33536,297051.25000000,560.39249434,0
1578009600000,0.00186720,0.00190680,0.00185090,0.00185930,589480.90000000,1578095999999,1103.70384938,45506,292142.96000000,547.24187316,0
1578096000000,0.00185920,0.00188700,0.00185200,0.00187640,817587.61000000,1578182399999,1529.95105807,32455,408954.32000000,765.10555762,0
1578182400000,0.00187630,0.00191680,0.00186410,0.00190870,1056576.00000000,1578268799999,2001.84255595,38569,492387.52000000,933.20281364,0
1578268800000,0.00190880,0.00195920,0.00190010,0.00192770,1090031.35000000,1578355199999,2098.76026797,55178,589863.66000000,1134.85332271,0
1578355200000,0.00192690,0.00192800,0.00183320,0.00184310,698966.49000000,1578441599999,1314.72756842,59461,330910.67000000,622.48993204,0
1578441600000,0.00184370,0.00184370,0.00175500,0.00180480,778891.64000000,1578527999999,1398.43269393,62309,362480.89000000,650.83556069,0
1578528000000,0.00180480,0.00184400,0.00180450,0.00184000,829568.50000000,1578614399999,1512.39491780,43126,462660.30000000,843.28328451,0
1578614400000,0.00183980,0.00185960,0.00182230,0.00184050,894893.35000000,1578700799999,1649.13147876,42925,492137.30000000,906.51067192,0
1578700800000,0.00184010,0.00186720,0.00181860,0.00185990,1018295.88000000,1578787199999,1882.70874204,46308,637325.49000000,1179.07845977,0
1578787200000,0.00185990,0.00189850,0.00185230,0.00187530,1056037.63000000,1578873599999,1979.42432845,40083,613840.78000000,1150.66153725,0
1578873600000,0.00187500,0.00187940,0.00184860,0.00187030,815581.73000000,1578959999999,1518.35002277,35625,531900.35000000,990.23879658,0
1578960000000,0.00187030,0.00191310,0.00181350,0.00188610,1101504.00000000,1579046399999,2052.91295084,84989,610052.81000000,1139.68917847,0
1579046400000,0.00188620,0.00206700,0.00187600,0.00200330,1613739.28000000,1579132799999,3177.70265685,132925,837532.13000000,1651.70521981,0
1579132800000,0.00200190,0.00200330,0.00189460,0.00195460,901574.78000000,1579219199999,1746.93516123,85079,440195.03000000,852.97832965,0
1579219200000,0.00195460,0.00207690,0.00195460,0.00202840,1392140.24000000,1579305599999,2810.66205984,104173,723927.10000000,1462.65248304,0
1579305600000,0.00202770,0.00205050,0.00198000,0.00199690,975134.44000000,1579391999999,1964.51051567,60430,534163.80000000,1076.35826424,0
1579392000000,0.00199630,0.00201950,0.00194010,0.00199590,836681.85000000,1579478399999,1661.31827821,76474,470770.09000000,935.71451503,0
1579478400000,0.00199820,0.00201110,0.00196820,0.00200380,824647.42000000,1579564799999,1639.92666147,40912,527339.58000000,1049.19155297,0
1579564800000,0.00200390,0.00207910,0.00199470,0.00207260,1068200.23000000,1579651199999,2177.41852943,58677,696039.90000000,1417.97610068,0
1579651200000,0.00207290,0.00209990,0.00203280,0.00205350,812097.58000000,1579737599999,1684.72171689,43744,463577.41000000,963.06969059,0
1579737600000,0.00205340,0.00205340,0.00201000,0.00202830,656667.83000000,1579823999999,1331.35696038,41391,317577.53000000,644.00248953,0
1579824000000,0.00203010,0.00205500,0.00198700,0.00202530,675264.99000000,1579910399999,1361.42076063,47521,412209.62000000,831.30478010,0
1579910400000,0.00202480,0.00204500,0.00200040,0.00203120,619568.85000000,1579996799999,1251.24921832,35203,400673.86000000,809.14504678,0
1579996800000,0.00203150,0.00204950,0.00202200,0.00203250,721483.46000000,1580083199999,1467.67641201,30816,486042.30000000,988.86116330,0
1580083200000,0.00203250,0.00203460,0.00197260,0.00198350,573785.11000000,1580169599999,1153.64148043,37004,254245.86000000,511.53332296,0
1580169600000,0.00198300,0.00199470,0.00191030,0.00192740,591972.24000000,1580255999999,1160.77823129,49543,321718.59000000,631.45120536,0
1580256000000,0.00192580,0.00196650,0.00191230,0.00192530,619863.89000000,1580342399999,1200.44755283,44033,346563.90000000,671.35298832,0
1580342400000,0.00192760,0.00195980,0.00191070,0.00195030,808241.26000000,1580428799999,1562.22541174,49796,436713.33000000,844.17770306,0
1580428800000,0.00195150,0.00199730,0.00192840,0.00195380,669056.86000000,1580515199999,1310.22377529,48234,343689.55000000,673.32738310,0
1580515200000,0.00195380,0.00196830,0.00193300,0.00194580,583476.01000000,1580601599999,1137.40258827,36725,346254.05000000,675.68432898,0
