time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577836800000,0.01795400,0.01796900,0.01792000,0.01795700,2000.67400000,1577840399999,35.90110251,2973,1061.72600000,19.05415972,0
1577840400000,0.01795800,0.01810500,0.01794500,0.01810500,4823.82000000,1577843999999,87.02300425,4455,2646.51300000,47.75411737,0
1577844000000,0.01810600,0.01814500,0.01805800,0.01806600,2885.61200000,1577847599999,52.19128759,3388,1134.52600000,20.51996474,0
1577847600000,0.01806700,0.01807300,0.01799500,0.01802100,1732.54700000,1577851199999,31.22950534,3025,780.04200000,14.06154472,0
1577851200000,0.01802000,0.01808100,0.01800900,0.01804000,2129.11700000,1577854799999,38.41670422,2939,872.84700000,15.74981816,0
1577854800000,0.01803300,0.01806100,0.01801100,0.01803700,2983.85400000,1577858399999,53.83185777,3338,1671.64000000,30.16099467,0
1577858400000,0.01803900,0.01807900,0.01802700,0.01805300,1966.82000000,1577861999999,35.51573292,3036,947.60400000,17.11140945,0
1577862000000,0.01805200,0.01808700,0.01803500,0.01807000,1759.15000000,1577865599999,31.77231107,2932,878.50200000,15.86831852,0
1577865600000,0.01806800,0.01810300,0.01806000,0.01810300,2954.28100000,1577869199999,53.42135704,3110,1723.46300000,31.16618977,0
1577869200000,0.01810300,0.01812000,0.01809900,0.01811000,2018.28500000,1577872799999,36.55066390,2893,1068.37800000,19.34960321,0
1577872800000,0.01811000,0.01815100,0.01810200,0.01814600,2055.49500000,1577876399999,37.25643071,2988,1075.58200000,19.49553038,0
1577876400000,0.01814800,0.01823600,0.01812400,0.01816500,3320.13500000,1577879999999,60.38103670,4277,1676.88600000,30.50161472,0
1577880000000,0.01816500,0.01821100,0.01815800,0.01821000,2194.62500000,1577883599999,39.89201139,2975,1252.43500000,22.76871594,0
1577883600000,0.01821000,0.01824600,0.01819300,0.01823100,3308.91700000,1577887199999,60.26781741,3294,2357.29600000,42.92970631,0
1577887200000,0.01823300,0.01829500,0.01818800,0.01826900,3308.17700000,1577890799999,60.38292151,3681,1593.70300000,29.09535067,0
1577890800000,0.01827100,0.01829400,0.01822000,0.01825300,3198.49500000,1577894399999,58.38852017,4201,1569.55700000,28.65520828,0
1577894400000,0.01825700,0.01834800,0.01825100,0.01834200,3757.03000000,1577897999999,68.73250647,4480,1632.04100000,29.86066842,0
1577898000000,0.01834200,0.01835600,0.01828300,0.01829300,3112.38200000,1577901599999,57.00481041,3757,1595.72200000,29.23408837,0
1577901600000,0.01829300,0.01829500,0.01821200,0.01823800,3037.15200000,1577905199999,55.45520039,3909,1499.03000000,27.37216680,0
1577905200000,0.01823500,0.01827100,0.01820100,0.01824400,1710.79300000,1577908799999,31.19061730,2598,863.99100000,15.75187246,0
1577908800000,0.01824500,0.01827100,0.01822400,0.01826300,1807.13300000,1577912399999,32.98041415,2680,929.73400000,16.96757306,0
1577912400000,0.01826300,0.01829500,0.01821200,0.01822600,3035.78300000,1577915999999,55.41768019,3431,1631.35600000,29.78436194,0
1577916000000,0.01822400,0.01822400,0.01805000,0.01810000,7133.32700000,1577919599999,129.09919093,6492,2542.16800000,46.00438168,0
1577919600000,0.01809900,0.01816700,0.01807100,0.01815000,2883.96400000,1577923199999,52.25328066,3252,1732.85500000,31.39365154,0
1577923200000,0.01815200,0.01815600,0.01810500,0.01811700,1682.67800000,1577926799999,30.49655739,2561,791.09300000,14.33937928,0
1577926800000,0.01811900,0.01814600,0.01809600,0.01810000,1480.45200000,1577930399999,26.82130488,2179,622.82100000,11.28668637,0
1577930400000,0.01809800,0.01812400,0.01801000,0.01809600,4630.48900000,1577933999999,83.64827946,4272,2071.09900000,37.42122644,0
1577934000000,0.01809500,0.01811700,0.01804400,0.01811000,3465.69400000,1577937599999,62.64540412,3645,1641.07300000,29.66765231,0
1577937600000,0.01810900,0.01815500,0.01807800,0.01814400,3499.04200000,1577941199999,63.41668439,3302,2057.21300000,37.28393096,0
1577941200000,0.01814400,0.01816300,0.01811000,0.01815200,1916.76500000,1577944799999,34.76400698,2710,678.81400000,12.31207965,0
1577944800000,0.01815300,0.01818900,0.01813100,0.01814000,1381.99600000,1577948399999,25.09463364,2950,706.94500000,12.83731523,0
1577948400000,0.01813800,0.01819300,0.01813800,0.01818100,2057.89200000,1577951999999,37.37348076,2848,1091.89700000,19.83139337,0
1577952000000,0.01817400,0.01820900,0.01816900,0.01820200,2503.37500000,1577955599999,45.53750257,2825,1008.57900000,18.34923962,0
1577955600000,0.01820300,0.01820900,0.01814100,0.01814700,1917.35600000,1577959199999,34.82357663,2618,871.89900000,15.83538064,0
1577959200000,0.01814500,0.01815800,0.01810300,0.01811300,3054.01600000,1577962799999,55.37608040,3388,1241.25800000,22.50845681,0
1577962800000,0.01811500,0.01814900,0.01810600,0.01813900,2801.52800000,1577966399999,50.77764841,3134,1579.92900000,28.63926166,0
1577966400000,0.01814600,0.01816100,0.01812300,0.01815600,2306.73500000,1577969999999,41.84207332,3158,1170.93000000,21.24083184,0
1577970000000,0.01815600,0.01818300,0.01813500,0.01813900,3441.19800000,1577973599999,62.46155861,2894,2119.94400000,38.47627588,0
1577973600000,0.01813700,0.01816700,0.01812000,0.01813100,2916.77200000,1577977199999,52.90393027,3008,1529.41100000,27.74262023,0
1577977200000,0.01813200,0.01819000,0.01812700,0.01817300,2594.77300000,1577980799999,47.12783468,2980,1099.75300000,19.97549123,0
1577980800000,0.01817400,0.01818400,0.01796500,0.01809500,8742.70400000,1577984399999,158.18352204,7111,4192.49800000,75.85660719,0
1577984400000,0.01809400,0.01829600,0.01806700,0.01828000,10203.11100000,1577987999999,185.72970399,9118,5939.52700000,108.13063354,0
1577988000000,0.01828300,0.01829900,0.01826700,0.01827900,3732.28200000,1577991599999,68.23671896,4352,1861.06100000,34.03130481,0
1577991600000,0.01828300,0.01828600,0.01822600,0.01827500,2703.76800000,1577995199999,49.36110947,3157,1342.95000000,24.51850606,0
1577995200000,0.01827500,0.01830500,0.01824300,0.01830200,2963.62300000,1577998799999,54.16987797,3841,1720.83600000,31.45992228,0
1577998800000,0.01830200,0.01831900,0.01828200,0.01830400,2748.35600000,1578002399999,50.29014805,2956,1203.70700000,22.02917721,0
