time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577836800000,204.57000000,207.88000000,203.50000000,205.71000000,6853.70795000,1577851199999,1412301.37097560,5384,3407.76932000,702106.47897140,0
1577851200000,205.71000000,207.50000000,205.21000000,206.59000000,4780.80362000,1577865599999,988127.60932340,4020,2075.87691000,429068.85821080,0
1577865600000,206.56000000,209.00000000,204.94000000,205.96000000,9722.19526000,1577879999999,2010167.38237130,6086,5166.28606000,1069002.45702800,0
1577880000000,205.96000000,207.70000000,205.30000000,206.06000000,7259.37187000,1577894399999,1499274.67141660,5734,3839.71496000,793053.80184910,0
1577894400000,206.07000000,207.10000000,205.17000000,205.27000000,4632.17111000,1577908799999,955064.78988950,4305,2536.85105000,523093.70515480,0
1577908800000,205.32000000,207.00000000,203.10000000,204.44000000,9986.70869000,1577923199999,2049644.62543640,7308,5082.75888000,1043657.38939930,0
1577923200000,204.43000000,205.53000000,200.55000000,201.08000000,13874.31474000,1577937599999,2814694.15108480,7219,8071.48985000,1637409.15876180,0
1577937600000,201.06000000,202.74000000,200.63000000,201.56000000,7647.67680000,1577951999999,1542342.78430530,5626,3981.06431000,802814.54491690,0
1577952000000,201.54000000,204.01000000,201.54000000,202.34000000,7122.59322000,1577966399999,1446522.01160880,5305,3145.18134000,638828.36246640,0
1577966400000,202.20000000,204.25000000,201.38000000,202.58000000,7020.71504000,1577980799999,1424663.00623730,5785,3708.41477000,752540.94956920,0
1577980800000,202.55000000,203.30000000,195.64000000,196.13000000,23641.40939000,1577995199999,4676870.49124790,17721,11252.91791000,2225531.52091760,0
1577995200000,196.14000000,196.81000000,192.80000000,195.49000000,17174.43131000,1578009599999,3345224.34883130,15684,9073.45779000,1767644.93428100,0
1578009600000,195.49000000,195.97000000,191.90000000,195.56000000,12607.54147000,1578023999999,2450033.68992140,9710,5794.06258000,1125489.60043350,0
1578024000000,195.57000000,208.00000000,195.51000000,206.06000000,58423.73214000,1578038399999,11886380.05672050,32018,28028.36390000,5697366.91445560,0
1578038400000,206.01000000,215.35000000,205.46000000,213.73000000,45993.95656000,1578052799999,9739919.65462420,23756,24354.37291000,5158464.06560080,0
1578052800000,213.74000000,219.00000000,212.36000000,216.44000000,42478.42774000,1578067199999,9126717.27269110,22031,19231.23184000,4130372.57020700,0
1578067200000,216.51000000,226.00000000,215.55000000,221.45000000,60219.86247000,1578081599999,13327294.64923160,31485,30200.91648000,6686854.53418200,0
1578081600000,221.45000000,224.06000000,219.06000000,222.43000000,16427.65435000,1578095999999,3637519.52170140,11693,7923.44712000,1754167.79102630,0
1578096000000,222.38000000,223.61000000,219.56000000,221.62000000,15683.87671000,1578110399999,3471474.23485590,11340,8402.74198000,1859592.66970710,0
1578110400000,221.65000000,225.15000000,220.30000000,223.87000000,17322.93275000,1578124799999,3868399.28348960,11061,7253.61548000,1619800.68828160,0
1578124800000,223.80000000,227.64000000,221.93000000,224.76000000,23950.14043000,1578139199999,5382558.71504150,15427,12589.28458000,2827776.24535100,0
1578139200000,224.76000000,224.89000000,220.13000000,221.85000000,24427.41246000,1578153599999,5413579.85567110,15201,13498.45075000,2990621.66451390,0
1578153600000,221.75000000,226.77000000,221.11000000,224.29000000,22532.80390000,1578167999999,5035514.48580330,13654,10577.72797000,2363336.76782600,0
1578168000000,224.29000000,225.05000000,222.94000000,224.47000000,6398.47798000,1578182399999,1435207.13447530,5872,3479.29801000,780648.78926600,0
1578182400000,224.45000000,227.63000000,224.45000000,226.06000000,22460.94881000,1578196799999,5077383.82082900,13503,12503.93302000,2826206.73757130,0
1578196800000,226.08000000,226.50000000,222.62000000,223.98000000,13892.65356000,1578211199999,3112995.29464520,9129,7876.69579000,1765053.61802100,0
1578211200000,224.07000000,224.46000000,220.60000000,222.54000000,15372.56105000,1578225599999,3416634.06636300,8727,8468.39989000,1882395.94254700,0
1578225600000,222.59000000,226.60000000,222.56000000,225.29000000,13289.22088000,1578239999999,2982504.56615970,9565,6648.28807000,1492233.49789280,0
1578240000000,225.26000000,226.49000000,222.31000000,224.20000000,14425.68372000,1578254399999,3235546.45704920,9427,6716.96000000,1506647.56001950,0
1578254400000,224.01000000,224.65000000,221.36000000,222.79000000,10897.21616000,1578268799999,2427045.86039560,7245,4650.55716000,1036402.96438450,0
1578268800000,222.82000000,239.67000000,222.20000000,237.28000000,64349.48729000,1578283199999,14982058.16758960,29742,31823.06870000,7409334.09889430,0
1578283200000,237.23000000,238.30000000,235.30000000,235.54000000,13240.30720000,1578297599999,3132616.48105220,7823,6468.52798000,1530428.95144730,0
1578297600000,235.51000000,238.02000000,234.39000000,235.62000000,22885.42288000,1578311999999,5402692.98561400,12498,10801.72687000,2550543.61498050,0
1578312000000,235.62000000,238.72000000,231.70000000,234.23000000,33528.21887000,1578326399999,7896494.95950980,17918,16099.49238000,3791275.52533630,0
1578326400000,234.21000000,236.40000000,232.55000000,235.70000000,11762.40156000,1578340799999,2764084.91280320,7574,6206.95339000,1458937.60688220,0
1578340800000,235.65000000,247.00000000,235.40000000,244.25000000,31738.75246000,1578355199999,7686057.48059930,20141,18100.80471000,4384681.73582470,0
