time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577836800000,13.71590000,13.85000000,13.69030000,13.81700000,227004.40000000,1577851199999,3127030.48702900,5109,149035.30000000,2053238.46561600,0
1577851200000,13.81570000,13.85010000,13.74280000,13.76080000,132921.02000000,1577865599999,1834921.38816200,3455,89936.94000000,1241677.94678000,0
1577865600000,13.76180000,13.81250000,13.68130000,13.71900000,171250.42000000,1577879999999,2352581.22560100,5788,117620.64000000,1615786.34776000,0
1577880000000,13.71900000,13.86920000,13.71680000,13.82230000,150269.00000000,1577894399999,2074334.59022200,4583,87371.69000000,1205913.16112900,0
1577894400000,13.82230000,13.86710000,13.67150000,13.72290000,150101.29000000,1577908799999,2066388.03966000,4808,72801.94000000,1002523.96668800,0
1577908800000,13.72290000,13.76580000,13.65000000,13.71840000,109078.91000000,1577923199999,1495363.38165900,3892,60572.96000000,830480.68516000,0
1577923200000,13.70720000,13.73020000,13.51000000,13.52050000,161674.41000000,1577937599999,2205736.52192100,4998,93531.42000000,1276681.77799800,0
1577937600000,13.52210000,13.57700000,13.42010000,13.44900000,189056.77000000,1577951999999,2556754.62297500,4802,124327.72000000,1682367.57671400,0
1577952000000,13.44900000,13.56900000,13.44030000,13.48210000,137049.01000000,1577966399999,1852402.61964400,5103,79387.89000000,1073065.23431800,0
1577966400000,13.48110000,13.52840000,13.35110000,13.40440000,146224.80000000,1577980799999,1965115.97092200,5853,76672.50000000,1030362.77600600,0
1577980800000,13.40030000,13.42110000,12.98000000,13.05210000,266785.97000000,1577995199999,3499789.11019600,10673,119129.08000000,1561977.79764400,0
1577995200000,13.04520000,13.07030000,12.98720000,13.01050000,70399.71000000,1578009599999,916590.38252500,3640,29996.95000000,390701.09506000,0
1578009600000,13.01040000,13.25070000,12.98010000,13.14890000,240023.88000000,1578023999999,3139061.05955800,7152,103327.74000000,1352405.28326100,0
1578024000000,13.14900000,13.61000000,13.14900000,13.47950000,249854.97000000,1578038399999,3363641.35825200,11535,128578.73000000,1730732.85438300,0
1578038400000,13.48780000,13.69170000,13.48210000,13.66840000,200794.56000000,1578052799999,2732666.52333500,8343,118901.63000000,1618308.75362100,0
1578052800000,13.66940000,13.75000000,13.49600000,13.62870000,245139.13000000,1578067199999,3340464.06545900,7577,127333.31000000,1735581.23691000,0
1578067200000,13.63290000,13.74000000,13.56850000,13.64580000,352993.25000000,1578081599999,4819107.91255400,7372,160309.64000000,2188763.70228000,0
1578081600000,13.64750000,13.66940000,13.51810000,13.64740000,169644.70000000,1578095999999,2306261.94358100,6011,85771.40000000,1165949.26780800,0
1578096000000,13.64810000,13.68420000,13.51020000,13.67020000,233965.69000000,1578110399999,3181173.29636200,5656,155608.83000000,2115916.06918500,0
1578110400000,13.67230000,13.73210000,13.64630000,13.72290000,238554.86000000,1578124799999,3264284.22053600,4801,166330.99000000,2276057.34401100,0
1578124800000,13.72390000,13.87100000,13.69550000,13.78000000,252338.62000000,1578139199999,3480936.68942700,6344,137326.09000000,1894080.33345800,0
1578139200000,13.78000000,13.78000000,13.63140000,13.70750000,130075.78000000,1578153599999,1781369.98019200,4679,68890.71000000,943127.89720700,0
1578153600000,13.70850000,13.85330000,13.65040000,13.73610000,174875.34000000,1578167999999,2401839.68742100,5310,90096.52000000,1237857.56646700,0
