time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1599206400000,43.15000000,49.00000000,40.90100000,42.10300000,7573.05600000,1599220799999,332591.78426100,1570,3402.10700000,149345.24285000,0
1599220800000,42.19900000,42.50000000,34.50000000,38.98000000,19611.39600000,1599235199999,730847.88508400,2700,14259.30800000,527039.54384900,0
1599235200000,38.60100000,43.20900000,35.97000000,40.63700000,5591.17900000,1599249599999,222368.61570500,1387,2496.47000000,99542.16471300,0
1599249600000,40.63700000,44.91800000,40.00000000,42.16700000,3438.52400000,1599263999999,143608.28181300,975,1503.80300000,62903.73191300,0
1599264000000,42.00000000,43.99800000,40.41900000,41.92000000,5093.04300000,1599278399999,212692.98986800,1018,2648.08900000,111365.14829500,0
1599278400000,41.92000000,42.80000000,37.66900000,38.54600000,7045.24200000,1599292799999,278505.21456900,1274,3865.59300000,153320.27543400,0
1599292800000,38.50500000,38.50500000,30.51500000,34.33900000,22235.32400000,1599307199999,771643.68601100,2994,10024.74100000,345508.98926700,0
1599307200000,34.36400000,42.80000000,30.89400000,37.09500000,23049.41600000,1599321599999,850662.17472000,4360,10832.25200000,402165.86949200,0
1599321600000,37.09500000,37.85100000,29.32000000,30.89200000,21293.58100000,1599335999999,697716.07716800,3503,8445.50800000,278065.37412400,0
1599336000000,30.89300000,35.00000000,30.00400000,32.49000000,10237.80600000,1599350399999,331848.84239300,2275,4163.38300000,135059.63754300,0
1599350400000,32.55800000,35.00000000,30.04000000,31.80300000,10659.09400000,1599364799999,335620.11664200,2033,4924.98000000,155552.68326300,0
1599364800000,31.85800000,33.50000000,30.20100000,33.30000000,10031.37900000,1599379199999,317212.18444200,984,3609.04800000,115124.70185600,0
1599379200000,33.51000000,39.80000000,32.12000000,37.37500000,17351.91700000,1599393599999,602687.30391800,2257,10551.91200000,368836.07744500,0
1599393600000,37.44200000,39.59400000,34.56800000,36.10900000,14146.98700000,1599407999999,517331.61770900,2005,5049.08400000,186195.83159700,0
1599408000000,35.97000000,37.00000000,34.80200000,36.72300000,5025.05800000,1599422399999,181406.09157900,650,2149.64200000,77681.38226700,0
1599422400000,36.88600000,39.00000000,35.90000000,38.03700000,6196.21900000,1599436799999,232782.20865000,870,3180.34200000,119914.15801700,0
1599436800000,37.89800000,38.37800000,35.32500000,35.78300000,7080.99500000,1599451199999,262247.06847700,926,3175.89400000,117394.60771300,0
1599451200000,35.77100000,36.16400000,33.00000000,34.29700000,11224.63400000,1599465599999,382919.71673900,1508,4823.68900000,164120.79883500,0
1599465600000,34.21200000,35.35000000,32.20000000,32.31400000,9994.35200000,1599479999999,336236.76791000,1165,5422.17900000,181475.70455600,0
1599480000000,32.39400000,34.42000000,30.50000000,34.02300000,14677.04300000,1599494399999,479482.93048100,2069,7934.76600000,259919.98415900,0
1599494400000,34.02400000,34.39500000,32.50000000,33.10400000,6018.00900000,1599508799999,200315.00203500,969,2833.26600000,94251.28142300,0
1599508800000,33.31600000,36.99700000,32.52100000,35.20300000,7717.32700000,1599523199999,267314.64048200,1113,4471.31700000,154435.28081400,0
1599523200000,35.30400000,36.17200000,33.25800000,34.27200000,7136.73000000,1599537599999,245024.37444300,1167,2800.82400000,96268.17045000,0
1599537600000,34.20600000,34.74300000,31.44000000,33.09200000,12224.27600000,1599551999999,402511.41478900,2719,5922.47800000,194774.54167100,0
1599552000000,33.09200000,33.57600000,31.00000000,31.03600000,17482.22800000,1599566399999,553457.52811700,2322,9685.37300000,306966.58795800,0
1599566400000,31.00100000,33.63700000,31.00000000,32.20800000,15294.72100000,1599580799999,493131.80763900,1668,10809.75100000,348295.79961200,0
1599580800000,32.28700000,33.87500000,31.41700000,31.60600000,7175.81100000,1599595199999,233844.87579700,839,3207.81100000,104641.83144000,0
1599595200000,31.78200000,31.78200000,30.27000000,31.33700000,7679.66000000,1599609599999,238042.34265900,1189,3718.33700000,115414.23314600,0
1599609600000,31.30000000,31.82600000,30.16800000,30.78900000,9115.20700000,1599623999999,282162.51570300,1263,3698.57900000,114679.01015700,0
1599624000000,30.85200000,31.49600000,30.41100000,31.24200000,5617.60300000,1599638399999,174502.16802700,775,2207.72000000,68583.82594900,0
1599638400000,31.24600000,33.80000000,31.00400000,32.45300000,12481.69800000,1599652799999,403297.30998700,1242,6397.41200000,207093.37122200,0
1599652800000,32.38400000,35.44200000,31.94000000,34.84400000,17332.94200000,1599667199999,581894.98445900,2297,8188.22700000,274750.94488000,0
1599667200000,34.97900000,37.00000000,33.80000000,35.00000000,13825.80900000,1599681599999,490674.17006600,2068,6875.68400000,243870.19519500,0
1599681600000,35.00000000,35.44800000,33.53000000,33.80600000,9012.71800000,1599695999999,310542.98074700,1130,4848.01000000,167022.70031400,0
1599696000000,33.86300000,36.50000000,33.86300000,35.80800000,9898.88000000,1599710399999,348666.32401300,1172,4605.95500000,161904.57680700,0
1599710400000,35.80700000,36.34600000,34.20000000,34.34400000,6503.92400000,1599724799999,230406.31860100,1040,2790.11900000,98977.15782700,0
1599724800000,34.25400000,34.72100000,33.10500000,33.95800000,7669.86100000,1599739199999,261724.90153000,1066,3748.78800000,128017.91736900,0
1599739200000,33.97300000,35.78300000,33.10700000,33.90200000,11875.43000000,1599753599999,405992.29775100,1435,4930.42400000,168690.49078300,0
1599753600000,33.89000000,34.00000000,31.75700000,32.54000000,13999.82100000,1599767999999,453745.06524200,1627,8303.88300000,268407.38093700,0
1599768000000,32.53200000,33.19000000,32.03800000,33.10200000,4871.86000000,1599782399999,159627.23279800,640,2143.43500000,70251.30015200,0
1599782400000,33.01800000,33.01800000,30.70800000,31.51900000,18837.53200000,1599796799999,591104.81836300,2118,12907.38400000,402951.88816400,0
1599796800000,31.51100000,32.01500000,31.00000000,31.49500000,7873.99500000,1599811199999,248278.63979500,735,5034.65900000,158955.76812000,0
1599811200000,31.58400000,32.64900000,30.79600000,30.91400000,14279.48800000,1599825599999,450829.34409900,1726,7316.14200000,231080.17258700,0
1599825600000,31.00500000,32.82800000,30.80000000,32.08900000,9818.29200000,1599839999999,310947.24176600,1185,4329.15600000,137503.45236100,0
1599840000000,32.12400000,32.46900000,31.00000000,31.81800000,9966.24200000,1599854399999,317608.89209100,1498,4528.07500000,144578.08500400,0
1599854400000,31.89400000,32.50000000,30.70800000,31.76900000,6514.13800000,1599868799999,205624.47021700,1198,3236.93400000,102073.19061600,0
1599868800000,31.77600000,32.31600000,31.00000000,31.37300000,9777.62100000,1599883199999,306953.80305400,1045,6162.20400000,193261.05564000,0
1599883200000,31.30600000,32.34900000,31.07800000,32.23700000,6737.18800000,1599897599999,212996.95358400,993,2616.95900000,82796.49863700,0
1599897600000,32.32500000,33.99000000,31.22000000,33.77400000,10549.93800000,1599911999999,342027.94068800,1513,5563.96000000,180092.78043300,0
1599912000000,33.73600000,33.77000000,31.62000000,33.01400000,14730.60900000,1599926399999,484284.49646300,2018,8545.36200000,281739.27128100,0
1599926400000,32.96600000,36.99900000,32.69400000,35.70000000,23587.70700000,1599940799999,833308.85569900,2953,11276.88800000,398514.13810400,0
1599940800000,35.73500000,36.53500000,34.88700000,35.15900000,9065.81300000,1599955199999,320933.13869100,1143,3640.10400000,129214.34491400,0
1599955200000,35.15900000,39.50000000,34.50000000,38.53300000,28181.42900000,1599969599999,1051667.45804300,3737,15541.48000000,580864.75613200,0
1599969600000,38.64400000,42.20000000,37.37700000,39.55500000,32258.43200000,1599983999999,1286605.34662400,5305,15728.92000000,629552.60317000,0
1599984000000,39.64600000,39.72600000,35.70700000,36.15100000,21630.97500000,1599998399999,815459.21745600,3389,10623.13900000,400959.42096300,0
1599998400000,36.13800000,41.26000000,35.75900000,37.00400000,36174.50100000,1600012799999,1366800.74398200,6704,18596.12600000,703565.03287200,0
1600012800000,37.06200000,39.30000000,36.05300000,37.63700000,20857.97800000,1600027199999,777638.58732400,3764,11220.23300000,418183.42519600,0
1600027200000,37.65100000,41.00000000,37.05700000,39.32800000,21332.62900000,1600041599999,827671.00326400,3545,12390.52700000,481175.72001800,0
1600041600000,39.33000000,43.43100000,38.05800000,41.79400000,38235.86200000,1600055999999,1569204.42296600,6220,17610.91100000,723963.87430200,0
1600056000000,41.74100000,41.85000000,38.82700000,40.24700000,19589.16100000,1600070399999,783584.38326000,2713,11828.87700000,472687.55648400,0
1600070400000,40.46800000,41.11700000,39.35600000,40.51300000,11382.35200000,1600084799999,457261.20343200,1713,5571.37600000,224462.89110900,0
1600084800000,40.51100000,43.00000000,39.97500000,40.60000000,19648.17800000,1600099199999,808971.69348900,3346,8372.09300000,344890.19851700,0
1600099200000,40.75900000,41.84400000,40.00000000,40.97300000,13057.69900000,1600113599999,536795.36075100,2302,8102.86300000,333539.12009400,0
1600113600000,40.96300000,41.01600000,38.83700000,40.00000000,9073.25800000,1600127999999,360766.65942800,1553,4601.65300000,183362.54150900,0
1600128000000,40.16200000,40.20200000,38.22000000,38.90900000,7973.40800000,1600142399999,313192.99445200,1643,2592.51200000,102049.50749600,0
1600142400000,38.94500000,39.50900000,37.97700000,38.43400000,5395.85600000,1600156799999,209015.24757000,892,2931.16600000,113817.31774400,0
1600156800000,38.36200000,43.05000000,37.66000000,42.07300000,19457.97300000,1600171199999,797821.95511300,2736,9003.88300000,366319.00858800,0
1600171200000,42.06600000,42.96500000,38.00000000,39.19900000,23418.31100000,1600185599999,949833.99478700,3976,12269.95000000,497746.24214000,0
