time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1591833600000,0.00333200,0.00340000,0.00270100,0.00286100,153192863.00000000,1591847999999,455778.85507300,1458,61271604.00000000,182593.98833400,0
1591848000000,0.00286300,0.00291900,0.00246400,0.00280700,172252087.00000000,1591862399999,473115.42046500,1972,79952358.00000000,219583.55858400,0
1591862400000,0.00280000,0.00287900,0.00270000,0.00275500,122779168.00000000,1591876799999,340886.22285500,1790,58752130.00000000,163073.41459600,0
1591876800000,0.00275400,0.00283500,0.00250100,0.00257200,103740933.00000000,1591891199999,275244.94496600,1884,52096254.00000000,138615.57797700,0
1591891200000,0.00257300,0.00259400,0.00240000,0.00244500,69305887.00000000,1591905599999,174090.04693800,1298,24062999.00000000,60551.28280400,0
1591905600000,0.00248900,0.00252800,0.00234000,0.00234000,62753938.00000000,1591919999999,153046.15168700,924,22496157.00000000,55082.43812600,0
1591920000000,0.00235100,0.00248500,0.00234100,0.00244900,35836947.00000000,1591934399999,86766.77223700,714,17731222.00000000,42982.83043900,0
1591934400000,0.00244600,0.00245900,0.00236000,0.00241100,27287209.00000000,1591948799999,65400.79289700,543,13326823.00000000,31953.41295200,0
1591948800000,0.00241500,0.00249300,0.00238600,0.00245900,88639680.00000000,1591963199999,215630.98574700,1361,57710967.00000000,140615.88765100,0
1591963200000,0.00244600,0.00258000,0.00235000,0.00242700,104402479.00000000,1591977599999,259206.87582800,1504,48440866.00000000,120525.80861100,0
1591977600000,0.00242700,0.00245300,0.00234800,0.00240000,31223452.00000000,1591991999999,74941.62959400,753,13992898.00000000,33624.70132400,0
1591992000000,0.00240000,0.00248900,0.00236000,0.00247900,30804070.00000000,1592006399999,75376.69730600,617,18472243.00000000,45174.23168500,0
1592006400000,0.00247900,0.00266900,0.00241000,0.00257600,117113904.00000000,1592020799999,300543.80344800,1680,59933923.00000000,153256.31687200,0
1592020800000,0.00256100,0.00261900,0.00250200,0.00258000,39819668.00000000,1592035199999,101198.38379700,981,16959786.00000000,43099.08518700,0
1592035200000,0.00258000,0.00258200,0.00250000,0.00250600,26110409.00000000,1592049599999,65978.24138000,478,11437792.00000000,28957.19111100,0
1592049600000,0.00250600,0.00255500,0.00250200,0.00253500,34756213.00000000,1592063999999,88047.61144900,590,19032217.00000000,48290.39170600,0
1592064000000,0.00253200,0.00254800,0.00249300,0.00252100,16727772.00000000,1592078399999,42018.19072400,249,6924331.00000000,17388.47987900,0
