time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577836800000,0.19285000,0.19454000,0.19219000,0.19397000,6926988.20000000,1577851199999,1340087.30595100,6102,3966612.90000000,767756.38971500,0
1577851200000,0.19397000,0.19526000,0.19351000,0.19438000,4159719.00000000,1577865599999,808395.53582500,4725,2329652.40000000,452672.42857200,0
1577865600000,0.19438000,0.19468000,0.19326000,0.19358000,5420125.10000000,1577879999999,1051843.70882400,5029,3103466.80000000,602360.26760000,0
1577880000000,0.19358000,0.19488000,0.19350000,0.19394000,4114708.10000000,1577894399999,798768.54270500,4633,2148929.50000000,417174.32426800,0
1577894400000,0.19394000,0.19483000,0.19380000,0.19395000,3358625.40000000,1577908799999,652512.39606400,4597,1955487.20000000,379889.04683900,0
1577908800000,0.19392000,0.19422000,0.19226000,0.19305000,5792856.80000000,1577923199999,1119826.11501400,5197,2288448.00000000,442249.41841800,0
1577923200000,0.19304000,0.19304000,0.19045000,0.19093000,4948417.80000000,1577937599999,949993.72655500,4899,2427894.30000000,466193.02671300,0
1577937600000,0.19089000,0.19163000,0.19041000,0.19081000,5137702.20000000,1577951999999,981578.30103700,5090,2359804.70000000,450839.85008000,0
1577952000000,0.19080000,0.19230000,0.19064000,0.19142000,4450974.50000000,1577966399999,853325.56660400,4753,2156042.60000000,413368.79928800,0
1577966400000,0.19135000,0.19173000,0.19015000,0.19054000,5701474.30000000,1577980799999,1088287.86336500,5268,2639793.70000000,503965.31657500,0
1577980800000,0.19053000,0.19083000,0.18508000,0.18807000,22719269.20000000,1577995199999,4271530.56315600,12174,10224163.10000000,1922373.77484700,0
1577995200000,0.18806000,0.18814000,0.18671000,0.18750000,4954267.60000000,1578009599999,928598.99845100,5137,2386952.30000000,447341.72786300,0
1578009600000,0.18750000,0.18750000,0.18450000,0.18618000,10765431.60000000,1578023999999,2000969.38986500,7247,4924697.70000000,915737.46470000,0
1578024000000,0.18619000,0.19185000,0.18611000,0.18966000,19433818.20000000,1578038399999,3691048.00382600,11891,10463921.20000000,1988122.66998600,0
1578038400000,0.18972000,0.19377000,0.18966000,0.19286000,14851851.50000000,1578052799999,2854593.53479800,10253,7992300.80000000,1536469.50328100,0
1578052800000,0.19286000,0.19395000,0.19116000,0.19210000,8938485.70000000,1578067199999,1718471.79171900,7450,4814977.70000000,925952.69210500,0
1578067200000,0.19213000,0.19384000,0.19145000,0.19272000,12361160.50000000,1578081599999,2382790.34812200,8699,6163222.70000000,1188473.89289700,0
1578081600000,0.19278000,0.19345000,0.19171000,0.19338000,4040031.80000000,1578095999999,777794.22598300,4934,1942463.00000000,374148.10082100,0
1578096000000,0.19331000,0.19355000,0.19200000,0.19277000,4912674.10000000,1578110399999,946053.34641800,4830,2392023.40000000,460529.03465000,0
1578110400000,0.19275000,0.19363000,0.19197000,0.19289000,5557593.50000000,1578124799999,1071995.24774200,4840,2734578.80000000,527475.33771400,0
1578124800000,0.19286000,0.19350000,0.19215000,0.19287000,5542849.10000000,1578139199999,1068887.77521800,5005,2832666.70000000,546262.12038900,0
1578139200000,0.19282000,0.19290000,0.19172000,0.19248000,4997423.90000000,1578153599999,960479.84549700,4457,2344432.60000000,450561.62927900,0
1578153600000,0.19250000,0.19340000,0.19119000,0.19226000,8633149.50000000,1578167999999,1659039.67842300,6474,4431914.70000000,851914.48030600,0
1578168000000,0.19230000,0.19337000,0.19170000,0.19305000,4595965.30000000,1578182399999,885383.34269400,4358,2386307.10000000,459718.56337700,0
1578182400000,0.19305000,0.19547000,0.19288000,0.19503000,11283586.20000000,1578196799999,2193977.14790200,8119,6324778.60000000,1229534.42006800,0
1578196800000,0.19501000,0.19568000,0.19445000,0.19483000,4643027.10000000,1578211199999,905602.19100400,4971,2547869.60000000,496984.32930500,0
1578211200000,0.19479000,0.19509000,0.19324000,0.19461000,7251362.80000000,1578225599999,1406203.46694800,6384,3399048.40000000,659200.66593400,0
1578225600000,0.19461000,0.19640000,0.19402000,0.19631000,10089100.60000000,1578239999999,1968530.77904800,7550,5116544.90000000,998270.21439600,0
1578240000000,0.19637000,0.19722000,0.19594000,0.19634000,12240326.10000000,1578254399999,2406200.37621500,8402,5225932.40000000,1027424.71351800,0
1578254400000,0.19634000,0.19664000,0.19377000,0.19453000,8849074.90000000,1578268799999,1726836.51408000,7420,4053503.00000000,791207.92513500,0
1578268800000,0.19453000,0.19756000,0.19421000,0.19715000,13568012.90000000,1578283199999,2661825.23670600,9605,7323268.60000000,1437290.44957600,0
1578283200000,0.19713000,0.19739000,0.19609000,0.19645000,9711909.30000000,1578297599999,1911946.46427500,6910,4670569.70000000,919684.50057700,0
1578297600000,0.19645000,0.21394000,0.19645000,0.21117000,74831118.00000000,1578311999999,15567939.10298800,44040,38643226.10000000,8037370.62089600,0
1578312000000,0.21117000,0.21624000,0.20981000,0.21278000,44518035.90000000,1578326399999,9492212.40463600,23381,21296511.40000000,4542167.48441500,0
1578326400000,0.21271000,0.22032000,0.21254000,0.21953000,46560056.40000000,1578340799999,10146528.15198600,24551,24852418.90000000,5416241.78273100,0
1578340800000,0.21953000,0.22396000,0.21758000,0.22310000,44968106.70000000,1578355199999,9930020.99779800,25231,22612233.20000000,4994507.82284600,0
1578355200000,0.22310000,0.22550000,0.21858000,0.21977000,36295390.10000000,1578369599999,8044318.50771400,19096,18687876.10000000,4142969.91440600,0
1578369600000,0.21973000,0.21986000,0.21350000,0.21759000,31916626.80000000,1578383999999,6884370.19138600,17210,14678093.20000000,3166366.86252200,0
1578384000000,0.21756000,0.21790000,0.21469000,0.21493000,18101841.90000000,1578398399999,3913725.41149800,11417,8729807.20000000,1887567.41942500,0
1578398400000,0.21486000,0.21512000,0.20724000,0.20813000,45185424.40000000,1578412799999,9517448.52169700,25624,21626493.90000000,4553508.82689700,0
1578412800000,0.20816000,0.21868000,0.20702000,0.21492000,54715759.10000000,1578427199999,11653402.73964500,28832,27190029.00000000,5793391.02459700,0
1578427200000,0.21492000,0.21689000,0.21113000,0.21335000,20234538.30000000,1578441599999,4338438.50392200,14727,9639973.50000000,2067827.12101400,0
1578441600000,0.21334000,0.21836000,0.21164000,0.21228000,38169614.20000000,1578455999999,8189899.73492800,22332,18534156.30000000,3977312.62884100,0
1578456000000,0.21223000,0.21531000,0.21180000,0.21223000,16328969.70000000,1578470399999,3486229.57940300,11364,7997544.20000000,1707641.76316200,0
1578470400000,0.21217000,0.21348000,0.21138000,0.21219000,11684889.50000000,1578484799999,2480128.49219200,9037,6150596.00000000,1305349.53316100,0
1578484800000,0.21218000,0.21721000,0.21037000,0.21260000,30228352.50000000,1578499199999,6457452.20830500,19631,14690281.60000000,3139018.14218700,0
1578499200000,0.21262000,0.21325000,0.20423000,0.20530000,36775825.30000000,1578513599999,7633469.06995500,21092,17553395.50000000,3642755.39596100,0
1578513600000,0.20534000,0.20859000,0.20311000,0.20750000,15674150.10000000,1578527999999,3225286.45056300,10651,8025409.80000000,1650901.91573900,0
1578528000000,0.20750000,0.20877000,0.20564000,0.20683000,9770193.00000000,1578542399999,2023883.92170100,7518,4365914.70000000,904255.50117100,0
1578542400000,0.20681000,0.20701000,0.20515000,0.20612000,8793805.80000000,1578556799999,1813466.48243300,7338,3851942.00000000,794138.41757900,0
1578556800000,0.20612000,0.20634000,0.20318000,0.20370000,12910095.00000000,1578571199999,2639441.27787800,9357,6256242.10000000,1278994.27480800,0
1578571200000,0.20368000,0.20540000,0.20328000,0.20433000,8810791.00000000,1578585599999,1801484.74245500,7871,4249257.50000000,868700.32425400,0
1578585600000,0.20433000,0.20515000,0.20126000,0.20423000,19112225.80000000,1578599999999,3877818.98042900,12149,10141863.50000000,2058230.90398300,0
1578600000000,0.20427000,0.20615000,0.20126000,0.20373000,16095029.90000000,1578614399999,3274950.18486700,11688,7313094.40000000,1487826.50524700,0
1578614400000,0.20375000,0.20480000,0.20026000,0.20213000,13387833.80000000,1578628799999,2703215.05978100,9533,6474366.30000000,1307152.53702500,0
1578628800000,0.20214000,0.20245000,0.20082000,0.20202000,13350455.40000000,1578643199999,2692473.17547500,9215,6998205.20000000,1411555.39967900,0
1578643200000,0.20202000,0.20553000,0.20023000,0.20531000,22924231.20000000,1578657599999,4649985.80884100,14548,11380073.20000000,2307666.72123700,0
1578657600000,0.20530000,0.20979000,0.20404000,0.20851000,38460011.10000000,1578671999999,7975514.85732700,22342,19166341.10000000,3975374.97556500,0
1578672000000,0.20847000,0.21149000,0.20670000,0.21026000,38833711.00000000,1578686399999,8111428.48857400,23041,20835713.70000000,4350724.08833500,0
1578686400000,0.21026000,0.21318000,0.20826000,0.21284000,18266939.00000000,1578700799999,3844475.56285300,12561,8912812.80000000,1875453.08017400,0
1578700800000,0.21277000,0.21492000,0.21137000,0.21212000,19790387.50000000,1578715199999,4211203.19819300,14484,10205079.70000000,2171340.12588400,0
1578715200000,0.21202000,0.21281000,0.20931000,0.21114000,9502105.60000000,1578729599999,2005384.42133000,8490,4453467.70000000,939838.99835700,0
1578729600000,0.21117000,0.21290000,0.20852000,0.20937000,9519857.30000000,1578743999999,2005005.82383400,9649,4578208.30000000,964127.02513900,0
1578744000000,0.20930000,0.21231000,0.20895000,0.21125000,7444694.30000000,1578758399999,1570451.27183000,6828,3600243.60000000,759760.14123400,0
1578758400000,0.21127000,0.21929000,0.20966000,0.21866000,42917713.80000000,1578772799999,9290021.11100900,26386,20960579.90000000,4538047.21824000,0
1578772800000,0.21872000,0.21994000,0.21022000,0.21121000,30062973.70000000,1578787199999,6450506.41281900,19563,13080952.00000000,2806485.38070400,0
1578787200000,0.21121000,0.21524000,0.20941000,0.21319000,13092399.00000000,1578801599999,2781699.10499400,10356,6246834.70000000,1327346.80782600,0
1578801600000,0.21319000,0.21713000,0.21318000,0.21425000,9992648.20000000,1578815999999,2147668.64009000,6974,5342390.80000000,1147777.27307100,0
1578816000000,0.21426000,0.21543000,0.21183000,0.21304000,12734361.70000000,1578830399999,2722759.94209200,7845,6445856.00000000,1378613.97990800,0
1578830400000,0.21306000,0.21632000,0.21291000,0.21543000,12070811.60000000,1578844799999,2593679.53862100,9625,6280685.80000000,1349571.33423400,0
1578844800000,0.21542000,0.21592000,0.21225000,0.21315000,14485250.40000000,1578859199999,3096504.39069900,9659,7496944.40000000,1602530.48875600,0
1578859200000,0.21320000,0.21540000,0.21225000,0.21539000,8336243.50000000,1578873599999,1780989.02075900,6255,4716451.60000000,1008051.02610500,0
1578873600000,0.21536000,0.21560000,0.21137000,0.21184000,10724972.40000000,1578887999999,2283960.34766100,8029,5158063.30000000,1099349.57235400,0
1578888000000,0.21185000,0.21257000,0.21034000,0.21130000,7127918.40000000,1578902399999,1507312.66312700,6156,3171905.30000000,670828.54456200,0
1578902400000,0.21130000,0.21346000,0.21041000,0.21143000,14300518.00000000,1578916799999,3031335.20870600,9389,7019822.50000000,1488070.49812900,0
1578916800000,0.21151000,0.21216000,0.20960000,0.21040000,7869068.40000000,1578931199999,1660457.94953400,4716,3467026.30000000,731586.10311200,0
1578931200000,0.21039000,0.21210000,0.20988000,0.21070000,5339753.80000000,1578945599999,1126904.55650100,4742,2780353.10000000,586657.51059500,0
1578945600000,0.21069000,0.21277000,0.21068000,0.21134000,5596925.80000000,1578959999999,1185610.95128100,6006,3032596.10000000,642537.03280600,0
1578960000000,0.21134000,0.21811000,0.21134000,0.21790000,33028034.80000000,1578974399999,7121186.91556300,19332,17541478.90000000,3782605.31674400,0
1578974400000,0.21794000,0.21926000,0.21632000,0.21757000,20804257.40000000,1578988799999,4532959.72950700,11883,9944981.00000000,2166637.41643200,0
1578988800000,0.21754000,0.22499000,0.21740000,0.22159000,29579013.10000000,1579003199999,6533153.76336700,18109,14887989.30000000,3288206.09258300,0
1579003200000,0.22158000,0.22837000,0.21889000,0.22497000,54136781.80000000,1579017599999,12121503.71048100,32655,27007680.10000000,6048338.08698300,0
1579017600000,0.22498000,0.24526000,0.22101000,0.23766000,126411767.00000000,1579031999999,29782772.23472500,64082,64698002.80000000,15247600.08938000,0
1579032000000,0.23770000,0.23775000,0.23071000,0.23464000,37182687.40000000,1579046399999,8735160.82055000,24265,16955668.10000000,3984122.36227100,0
1579046400000,0.23455000,0.24356000,0.23123000,0.23488000,62988532.90000000,1579060799999,14937171.17815200,35025,30504971.80000000,7235131.65518900,0
1579060800000,0.23475000,0.23949000,0.22630000,0.23225000,47474363.20000000,1579075199999,11025973.56660900,31951,22566740.00000000,5242956.75778700,0
1579075200000,0.23201000,0.24085000,0.23077000,0.23539000,34096353.30000000,1579089599999,8037095.17670800,21243,16899146.90000000,3983630.52791000,0
1579089600000,0.23541000,0.24309000,0.23316000,0.23436000,38358372.10000000,1579103999999,9120703.06381400,24940,19185947.10000000,4563293.57378800,0
1579104000000,0.23423000,0.23672000,0.23150000,0.23515000,24729444.30000000,1579118399999,5799183.99742800,19049,12790752.80000000,2999893.72195000,0
1579118400000,0.23515000,0.23748000,0.23129000,0.23367000,29959396.00000000,1579132799999,7036246.11371900,22289,14966332.90000000,3517324.47658800,0
1579132800000,0.23367000,0.23501000,0.22230000,0.22496000,40666515.00000000,1579147199999,9240189.02987100,27094,19055651.50000000,4329351.57539600,0
