time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577836800000,0.01022000,0.01035000,0.01010000,0.01035000,5294295.50000000,1577858399999,54081.52359200,369,2885040.80000000,29538.64395200,0
1577858400000,0.01034000,0.01052000,0.01013000,0.01030000,4804045.80000000,1577879999999,49517.72978200,362,2582501.20000000,26658.88560400,0
1577880000000,0.01030000,0.01095000,0.01026000,0.01072000,22819194.20000000,1577901599999,240607.14105500,1111,9779828.50000000,103236.20771100,0
1577901600000,0.01070000,0.01083000,0.01021000,0.01035000,10521817.40000000,1577923199999,111419.72647900,823,3051227.00000000,32548.63824300,0
1577923200000,0.01033000,0.01039000,0.01003000,0.01030000,5239361.20000000,1577944799999,53731.26564000,329,2118608.50000000,21757.17593300,0
1577944800000,0.01030000,0.01066000,0.01005000,0.01066000,9515765.40000000,1577966399999,98171.56749000,510,6122612.30000000,63203.13408700,0
1577966400000,0.01065000,0.01078000,0.00985000,0.01014000,21237086.70000000,1577987999999,219589.24944300,1099,8135043.30000000,83801.47272300,0
1577988000000,0.01011000,0.01022000,0.01001000,0.01001000,2803264.50000000,1578009599999,28292.38477200,225,1397853.40000000,14136.62657400,0
1578009600000,0.01007000,0.01074000,0.01006000,0.01065000,3155522.40000000,1578031199999,32662.43253900,351,2004880.70000000,20687.87447500,0
1578031200000,0.01058000,0.01067000,0.01033000,0.01056000,8013998.60000000,1578052799999,84307.76710700,491,3828255.00000000,40445.00843400,0
1578052800000,0.01057000,0.01067000,0.01044000,0.01049000,5419093.30000000,1578074399999,57237.74477200,418,3258305.10000000,34499.68075300,0
1578074400000,0.01045000,0.01052000,0.01024000,0.01035000,2497083.30000000,1578095999999,25977.08573200,193,669388.50000000,6977.27385300,0
1578096000000,0.01041000,0.01042000,0.01009000,0.01025000,6412040.50000000,1578117599999,65595.16317300,426,2113162.20000000,21655.76577200,0
1578117600000,0.01027000,0.01078000,0.01020000,0.01040000,13171630.80000000,1578139199999,137112.38337800,804,5887256.50000000,61408.64934500,0
1578139200000,0.01041000,0.01092000,0.01040000,0.01082000,8248126.90000000,1578160799999,87780.93016500,568,5127186.70000000,54506.35286300,0
1578160800000,0.01083000,0.01215000,0.01071000,0.01111000,25726456.30000000,1578182399999,292340.26653200,1656,11357566.40000000,128776.36321200,0
1578182400000,0.01109000,0.01206000,0.01103000,0.01180000,20900254.90000000,1578203999999,239044.80725200,1371,11135021.50000000,127687.09011800,0
1578204000000,0.01175000,0.01179000,0.01128000,0.01150000,16513164.60000000,1578225599999,190531.65465000,1022,6142948.90000000,70857.13035600,0
1578225600000,0.01150000,0.01275000,0.01128000,0.01231000,23291743.40000000,1578247199999,278947.97204300,1465,11703056.50000000,141088.48929700,0
1578247200000,0.01231000,0.01254000,0.01142000,0.01157000,15826903.10000000,1578268799999,187765.74880100,1067,5695271.90000000,67715.07335200,0
1578268800000,0.01150000,0.01163000,0.01102000,0.01134000,11117951.90000000,1578290399999,126116.39228300,798,3234189.40000000,36728.63456800,0
1578290400000,0.01137000,0.01144000,0.01090000,0.01102000,8661807.90000000,1578311999999,96252.12850400,676,2783341.90000000,31097.54908700,0
1578312000000,0.01104000,0.01123000,0.01092000,0.01116000,8022762.80000000,1578333599999,88972.71637700,581,3402543.80000000,37774.16767900,0
1578333600000,0.01116000,0.01148000,0.01087000,0.01103000,14576756.90000000,1578355199999,162662.89972500,921,5280265.00000000,59159.64649800,0
1578355200000,0.01110000,0.01115000,0.01070000,0.01101000,13949867.50000000,1578376799999,151570.15363500,1106,6639174.40000000,72303.39722700,0
1578376800000,0.01103000,0.01103000,0.01078000,0.01090000,6889034.80000000,1578398399999,74886.15000600,565,2879811.60000000,31405.35501100,0
1578398400000,0.01089000,0.01108000,0.01075000,0.01088000,7058414.20000000,1578419999999,76830.75825100,499,3259644.20000000,35551.76398700,0
1578420000000,0.01097000,0.01105000,0.01060000,0.01060000,9001668.80000000,1578441599999,96938.13351500,672,2648443.50000000,28680.30019800,0
1578441600000,0.01059000,0.01059000,0.01017000,0.01028000,12001941.40000000,1578463199999,124849.45495400,659,3590170.10000000,37458.77281600,0
1578463200000,0.01028000,0.01042000,0.01023000,0.01035000,5315370.30000000,1578484799999,54890.47714700,367,2959920.00000000,30618.89107300,0
1578484800000,0.01040000,0.01079000,0.01021000,0.01023000,5237962.60000000,1578506399999,54802.24320800,527,2506471.80000000,26396.64352600,0
1578506400000,0.01029000,0.01036000,0.01000000,0.01022000,4370226.30000000,1578527999999,44532.14050200,367,1719584.50000000,17578.23932900,0
1578528000000,0.01022000,0.01041000,0.01014000,0.01022000,2373232.40000000,1578549599999,24326.74259900,270,968782.40000000,9972.79165700,0
1578549600000,0.01022000,0.01068000,0.01018000,0.01056000,6802028.70000000,1578571199999,71305.97224400,547,3704658.80000000,38953.79364900,0
1578571200000,0.01058000,0.01064000,0.01033000,0.01040000,2067367.90000000,1578592799999,21667.34639400,287,979112.30000000,10293.87621400,0
1578592800000,0.01037000,0.01064000,0.01000000,0.01009000,12952299.80000000,1578614399999,132126.85671900,831,5687316.20000000,58162.75864300,0
1578614400000,0.01008000,0.01020000,0.01008000,0.01009000,1742878.00000000,1578635999999,17651.33834300,116,1234598.80000000,12515.69841800,0
1578636000000,0.01015000,0.01118000,0.01006000,0.01077000,14721974.80000000,1578657599999,157011.51994700,1157,6952776.20000000,74127.27415100,0
